Date,Open,High,Low,Close,Adj Close,Volume,Date,normalized TSX
2013-11-25,13478.40039,13507.29981,13460.90039,13472.2002,13472.2002,179814400,2013-11-25,0.243533334
2013-11-26,13472.09961,13472.09961,13348.79981,13349.79981,13349.79981,206492000,2013-11-26,0.008110313
2013-11-27,13349.59961,13389.09961,13349.59961,13362.09961,13362.09961,133606700,2013-11-27,0.316455696
2013-11-28,13362.09961,13400.79981,13362.09961,13370.79981,13370.79981,516200,2013-11-28,0.224810128
2013-11-29,13371.79981,13496.7002,13371.79981,13395.40039,13395.40039,108240000,2013-11-29,0.188955263
2013-12-02,13395.40039,13459,13389.5,13419.59961,13419.59961,162083300,2013-12-02,0.433087899
2013-12-03,13419.5,13419.5,13279.09961,13319.90039,13319.90039,178375500,2013-12-03,0.290603051
2013-12-04,13319.90039,13319.90039,13234.5,13304.90039,13304.90039,182430600,2013-12-04,0.824356776
2013-12-05,13304.90039,13304.90039,13200.40039,13200.40039,13200.40039,223232500,2013-12-05,0
2013-12-06,13200.59961,13313.59961,13200.59961,13280.7002,13280.7002,131031600,2013-12-06,0.708854743
2013-12-09,13280.7002,13352,13280.7002,13312.79981,13312.79981,163559800,2013-12-09,0.45020614
2013-12-10,13312.79981,13360.79981,13312.79981,13324,13324,166947200,2013-12-10,0.233337396
2013-12-11,13324.09961,13324.09961,13133.40039,13133.40039,13133.40039,1608400,2013-12-11,0
2013-12-12,13133.40039,13143.79981,13059.7002,13114.40039,13114.40039,167153200,2013-12-12,0.650421518
2013-12-13,13114.40039,13144.59961,13098,13125.7002,13125.7002,137588700,2013-12-13,0.594429773
2013-12-16,13125.7002,13226.40039,13125.7002,13184.40039,13184.40039,148006300,2013-12-16,0.582920375
2013-12-17,13184.40039,13224.79981,13170,13180.2002,13180.2002,153833400,2013-12-17,0.186135608
2013-12-18,13180.2002,13358.09961,13180.2002,13334.7002,13334.7002,184611400,2013-12-18,0.868468291
2013-12-19,13334.7002,13396.59961,13322.90039,13392.2002,13392.2002,162247600,2013-12-19,0.940305825
2013-12-20,13392.2002,13504.29981,13392.2002,13399.59961,13399.59961,337623400,2013-12-20,0.066007491
2013-12-23,13399.90039,13463.5,13399.90039,13447.7002,13447.7002,99247600,2013-12-23,0.751573866
2013-12-24,13447.7002,13531.40039,13447.7002,13518,13518,51761600,2013-12-24,0.839900124
2013-12-27,13517.90039,13604.29981,13517.90039,13588,13588,82102100,2013-12-27,0.81134357
2013-12-30,13587.59961,13597.5,13572.29981,13581.40039,13581.40039,77787400,2013-12-30,0.361131571
2013-12-31,13581.5,13644.29981,13580.90039,13621.59961,13621.59961,75504900,2013-12-31,0.641949435
2014-01-02,13621.40039,13621.40039,13528.29981,13594.2002,13594.2002,112481400,2014-01-02,0.707840765
2014-01-03,13594.2002,13594.2002,13521.79981,13548.90039,13548.90039,102227000,2014-01-03,0.37431547
2014-01-06,13548.90039,13560.59961,13473.2002,13495.5,13495.5,129263400,2014-01-06,0.255148221
2014-01-07,13495.09961,13617.09961,13495.09961,13596.90039,13596.90039,154228700,2014-01-07,0.834432639
2014-01-08,13596.90039,13639.2002,13586.79981,13614.59961,13614.59961,164831900,2014-01-08,0.530526662
2014-01-09,13614.7002,13644.2002,13585,13629.40039,13629.40039,170185700,2014-01-09,0.750004134
2014-01-10,13629.7002,13750.7002,13629.7002,13747.5,13747.5,182515800,2014-01-10,0.973552107
2014-01-13,13747.5,13771.09961,13658,13681.5,13681.5,247669900,2014-01-13,0.207781443
2014-01-14,13681.5,13747,13681.5,13692.40039,13692.40039,206284500,2014-01-14,0.166418183
2014-01-15,13692.40039,13785,13692.40039,13772.59961,13772.59961,191848200,2014-01-15,0.866085925
2014-01-16,13772.79981,13831.59961,13741.7002,13831.59961,13831.59961,225592300,2014-01-16,1
