"Date",High (kg),Low (kg),Close (kg),,High (troy oz),Low (troy oz),Close (troy oz),
"00:00:00 12-Oct-2013",43881.52,41706.83,43608.33,,1364.87,1297.23,1356.37,
"00:00:00 02-Oct-2013",44147.00,42124.23,42380.56,,1373.13,1310.21,1318.18,
"00:00:00 22-Sep-2013",44842.90,42633.15,42844.89,,1394.77,1326.04,1332.63,
"00:00:00 12-Sep-2013",45277.62,42795.38,43967.00,,1408.29,1331.09,1367.53,
"00:00:00 02-Sep-2013",47978.85,45123.85,45256.21,,1492.31,1403.51,1407.63,
"00:00:00 23-Aug-2013",48376.91,46423.03,46779.73,,1504.69,1443.92,1455.01,
"00:00:00 13-Aug-2013",46632.86,43813.11,46496.03,,1450.44,1362.74,1446.19,
"00:00:00 03-Aug-2013",44539.76,42520.37,44214.43,,1385.34,1322.53,1375.22,
"00:00:00 24-Jul-2013",44582.34,42743.76,43823.47,,1386.67,1329.48,1363.06,
"00:00:00 14-Jul-2013",44606.91,42601.04,44460.09,,1387.43,1325.04,1382.86,
"00:00:00 04-Jul-2013",43199.54,41179.73,42992.82,,1343.66,1280.83,1337.23,
"00:00:00 24-Jun-2013",43859.23,39843.39,42389.10,,1364.17,1239.27,1318.45,
"00:00:00 14-Jun-2013",45530.25,42400.10,43827.28,,1416.15,1318.79,1363.18,
"00:00:00 04-Jun-2013",46956.77,44914.07,45306.93,,1460.52,1396.98,1409.20,
"00:00:00 25-May-2013",47181.66,45747.52,46712.43,,1467.51,1422.91,1452.92,
"00:00:00 15-May-2013",46843.43,44283.25,46010.41,,1456.99,1377.36,1431.08,
"00:00:00 05-May-2013",47922.39,46278.83,46829.88,,1490.55,1439.43,1456.57,
